Rating,steming_data,Score,Sentiment
1,mesan obat kendari sulawesi tenggara sedia apotik rekan halodocnya resep obat dokter sedia cuman obat,0,Netral
5,bantu mana sakit untung halodoc bantu kasih saran tahap obat,-2,Negatif
5,dokter bantu,0,Netral
5,bantu kendala berkonsuktas dokter tatap muka,1,Positif
5,ramah ramah dokter,0,Netral
5,bantu,0,Netral
5,respon cepat,1,Positif
1,selesai konsultasi habis dokter sulit diagnosis sakit derita saran tolong timer panjang menit konsultasi jiwa cepatapalagi konsultasi via online langsung problem jadi derita pasien berbedabeda kadang pasien timer fokus menjelaskansprti tergupuh,2,Positif
5,good responx cepat mudah konsultasi batas,1,Positif
5,muas moga ubah wajah,2,Positif
5,suka halo docdengan rebah konsultasi dokter specialist alam trade record dokter komplit taudokter butuh,1,Positif
1,konsultasi sapa n bayar chat lebar balas kecewa,2,Positif
4,mantwap,0,Netral
5,cepat sigap moga lekas sembuh,2,Positif
5,buagus,0,Netral
5,bantu terimkasih halo doc,1,Positif
5,mantap layan,1,Positif
5,servis bagus,1,Positif
5,bantu cepat,0,Netral
1,bikin order obat kirim next day pakai instan obat driver hedeh,-2,Negatif
5,bantu repot rs,-1,Negatif
5,mudah pasien obat,-1,Negatif
5,bagus cuman jarang promo,1,Positif
5,batu,0,Netral
5,bantu banget heheh,1,Positif
5,bikin nyaman konsultasi dokter,2,Positif
5,keren cepat manfaat gaws macet rs sakit ringan,0,Netral
5,bagus,0,Netral
5,mudah sakit,-1,Negatif
5,ok mantap,2,Positif
5,muas,1,Positif
5,resep obat tinggal beli apotik mantap,1,Positif
5,cepat bantu,0,Netral
5,alhamdulillah puas dokter detail,3,Positif
5,oke,1,Positif
1,jaring buka app aman halodoc reload mulu untung ngambul konsultasi jam mah habis direload reload doang,2,Positif
5,halodoc aplikasi bagus mudah berkomsultasi dokterdokternya friendly,-1,Negatif
5,informatif bantu,0,Netral
5,bagus manfaat,1,Positif
1,layan bantu kirim obat vitamin langgan,1,Positif
1,koneksi buruk chat baca dokter respon dokter lambat singkat buang uang chat gpt konsultasi buruk pakai halo doc,2,Positif
4,bagus cepat,0,Netral
5,gercep terimakasi dokter,0,Netral
5,baik dokter ya jelas mudah erti,1,Positif
5,bagus banget,1,Positif
5,bantu,0,Netral
5,terimakasih cipta aplikasi halo dok,2,Positif
5,bantu hadir halodoc ruang pasien takut kunjung langsung alas minder mental hasil periksa praktis efisien biaya,2,Positif
5,bantu dokter ya ramah paham,1,Positif
5,istimewa,0,Netral
4,kemarin beli thermometer pakai aplikasi pakai jasa kirim grab biar instan aplikasi selesai barang cari pas chat cs halodoc kirim foto kirim grabnya foto barang suruh cari salah halodoc kirim grabnya amanah saran rekomendasi cs halodoknya bantu,4,Positif
5,amattt membantuuuuu,0,Netral
5,cobacoba not bad bagus,-1,Negatif
5,bantu hemat hemat biaya,0,Netral
3,baik tambah metode bayar virtual account,0,Netral
5,respon,1,Positif
5,bantu,0,Netral
5,muas,1,Positif
5,ngabantu situasi darurat,0,Netral
4,ok,1,Positif
5,good,1,Positif
5,konsultasi mudah ribet,0,Netral
5,cepat tanggap,1,Positif
5,dokter baik banget sakit kmna lemes,-1,Negatif
5,sat set,0,Netral
5,good,1,Positif
5,mantaf,0,Netral
5,aplikasi bagus capek antri rumah sakit,-1,Negatif
5,good service for personal,1,Positif
5,bantu sih kali pakai sembuh,1,Positif
5,respon dokter cepat,1,Positif
5,layan cepat bantu,0,Netral
5,respon cepat aplikasi mudah,0,Netral
1,payment sambung dokter baca chat menit room chat chat langsung ceklis sesi nih halodoc,3,Positif
5,response solusi ya efektif,3,Positif
5,obat lengkap beli offline apotik kirim ya cepat,1,Positif
5,bguss bgttttt,0,Netral
5,alhamdulillah bantu rumah,2,Positif
5,terima kasih jelas dokter mudah erti,1,Positif
5,manfaat,1,Positif
5,bantu suka respon dokter,1,Positif
5,bantu banget aplikasi halodoc,0,Netral
4,mudah dokter ramah jelas mudah erti,0,Netral
5,bantu kurang dokter spesialis daerah,0,Netral
5,dokter hehehe,0,Netral
5,dokter nurul pegalaman paten baik,0,Netral
5,cepat,0,Netral
5,cepat,0,Netral
5,cepat respon,1,Positif
5,baguussss,0,Netral
5,bagus ribet bantu,-1,Negatif
5,mantul,0,Netral
5,bagus bantu orang obat rumah,0,Netral
5,bantu sakit libur faskes tutup,-1,Negatif
5,terbaikkkkkk mudah,0,Netral
5,bagus layan,0,Netral
5,terimakasih dokter natalia spkk ramah jelas detail,2,Positif
2,bisa apes banget sakit duit irit gajiangua niat konsultasi halodoc bagus banget eh zonk astagfirullah konsultasi arah ikut bayar hasil tf gilir chat tulis sibuk coba ujung ya hangusmalah unptuk bayar astagfirullah sedekah,3,Positif
5,respon cepat ramah,1,Positif
5,dokter cepat respon,1,Positif
5,bantu,0,Netral
5,baik,0,Netral
5,responya cepat ramah,0,Netral
5,bantu puskesmas klinik rs dokter berpangalaman responsif obat lengkap,-1,Negatif
5,terimakasih wendy b sppd finasem pelayanankonsultasi ramah senang konsultasi salam kota cirebon,1,Positif
5,dokter ramahdan konsultasi buah hasil diinginkanterimakasih halodoc alternative efektif fleksibel,3,Positif
4,bantu temu dokter langsung,2,Positif
5,recommended,0,Netral
4,manfaat pelayananya,1,Positif
5,kirim cepat banget,2,Positif
5,terimakasih halodoc,1,Positif
5,bantu konsultasi jarak,1,Positif
5,respon dokter cepat bantu,1,Positif
5,konsultasi selesai otomatis selesai selesai dokter sistem,1,Positif
5,mantap,1,Positif
5,terimakasih handika sukses,2,Positif
5,bantu butuh konsultasi desak minim,-1,Negatif
5,terimakasih alternatif obat online,0,Netral
4,ok darurat hrga jangkau,1,Positif
5,oke banget,2,Positif
5,ramah banget,1,Positif
5,pakai app halodoc senang efisien dokter ya ramah mudah erti,2,Positif
1,laporin ojk nichat doktertp dokter sibuk cancel saldo refund meniteh jam masukemail cs nyamuter jawabnyakayanya lapor ojk,1,Positif
5,nice apps,1,Positif
2,pagi jam obat hubung susah kontak kurir susah,-3,Negatif
5,dokter ramah,0,Netral
5,cepat,0,Netral
5,dokternyaa manjurr resep,1,Positif
5,mudah paham,0,Netral
5,dokter taufik hidayat spjp maaf gelar hafal puas konsultasi dokter aplg jantung kali puas banget beliau detail kasih jelas saran at least dasar derita anxiety tenang tau laku konsultasi beliau terima kasih dok sehat ya,8,Positif
4,sip,0,Netral
5,bagus manfaat,1,Positif
5,moga depan dokter cepat responnya,1,Positif
5,mudah oke pis,1,Positif
5,bantu hubung dokter spesialis mana,1,Positif
5,alhamdulillah mudah konsultasi dokter langsung,3,Positif
5,membanntu tangan,1,Positif
5,respon dokter cepat,1,Positif
5,dokter,0,Netral
5,mudah konsultasi dokter cepat obat cocok anak kosan mana tinggal,-1,Negatif
5,joss gandos,0,Netral
5,mmbantu dokter,0,Netral
4,waktuhya biaya,0,Netral
5,dokter puas konsultasi,2,Positif
5,bantu,0,Netral
5,solusi cepat butuh konsultasi dokter segerapraktis mana sajasangat bantu,1,Positif
5,dokter ramah n,0,Netral
5,selesai konsultasi spesialis mata cokodra istri wini spm buluh darah mata pecah beliau profesional spesialis erti keluh mata respon ya cepat bagus terimakasih dok terimakasih halo doc,5,Positif
5,bagus,0,Netral
5,kali layan ya,1,Positif
5,membantuu terimakasih,1,Positif
5,bagus dokter ramah,0,Netral
5,mudah cepat,0,Netral
5,lumayan bantu guna an cocokterimakasih halodoc,1,Positif
5,amanah,1,Positif
5,dokter responsif,0,Netral
5,layan puas,1,Positif
5,bagus dokter ramah banget mohon tingkat fast responnya ya,3,Positif
5,bantu,0,Netral
5,dokter ya ramahdan moga konsultasi dokter yuli,3,Positif
5,bagus bantu keluh kesah jerawat,0,Netral
5,kali moga cocok resep,2,Positif
5,dokter ramah n ngejelasinnya detail maaciih halidah amriyati,1,Positif
5,cepat respon nya bantu,1,Positif
5,anjir drivernya gue asih tip,0,Netral
5,puas,1,Positif
5,first time sok far sok good,1,Positif
5,praktis bantu,1,Positif
5,bantu,0,Netral
5,mantaps bantu,0,Netral
5,hemat praktis,1,Positif
4,guud,0,Netral
5,suka banget jelas,1,Positif
5,doktr ya bguss,1,Positif
1,aman paket proses refund sulit hilang uang opsi pilih jasa kirim download beli obat langsung apotik dekat,3,Positif
5,dokter,0,Netral
5,easy usee,0,Netral
5,allah doktera fast respon,2,Positif
5,responsif,0,Netral
5,terima kasih kali chat halodoc thigita alam senang,2,Positif
5,detail proses,2,Positif
1,layan cs buruk,-1,Negatif
5,batu darurat,0,Netral
5,pilih dokter konsultasi cepat goodjob,0,Netral
5,good,1,Positif
5,bagus,0,Netral
5,responnya cepatpuas layan,0,Netral
5,layan cepatsemoga manjur,0,Netral
5,gampang,0,Netral
5,wow aplikasi bantu halodoc dokter asik,0,Netral
5,konsultasi dokter renposif,1,Positif
5,bagus bingung konsultasi mana ramahhh puuooolll dokter,1,Positif
1,aplikasi jelek banget bug bikin ngelag ngerusak hp baik deh buru kecewa,-1,Negatif
5,bantu konsultasi tindak rs,1,Positif
5,bantu dokter informatif,0,Netral
5,membantumantap,0,Netral
4,bantu,0,Netral
4,bantu konsultasi dokter solutif,1,Positif
5,responnya bantu daerah milik dokter spesialis,2,Positif
5,cepat,0,Netral
5,cepat tanggap,1,Positif
5,dokter ramah,0,Netral
5,bagus cepat merespon,1,Positif
5,keren,0,Netral
5,dokter cepat respon,1,Positif
5,bantu halodoc,0,Netral
5,bantu,0,Netral
5,ok banget layan bagus,2,Positif
5,mudahmudahan cocok obat saran bu dokter terimakasih konsultasi bu dokter hemat biaya ribet terimakasih halodoc,1,Positif
5,manfaat,1,Positif
5,syukur layan awam tenang n tuntas halodoc,2,Positif
5,suka banget konsultasi dokter halodocdokternya sabarsarannya muas,3,Positif
5,bantu,0,Netral
5,bagus manfaat,1,Positif
5,ok respon cepat,2,Positif
5,puas layan,1,Positif
5,jelas dokter ya mudah erti ramah,1,Positif
5,cepat,0,Netral
5,bagus,0,Netral
5,ya bantu nih aplikasi mager anter pakai bpjs asa buru maklum sih pasien ya,0,Netral
5,sangatt bagus,0,Netral
5,kali konsultasi dokter anak dokter ariawan dokter epi dokter kulit alhamdulillah cocok antri simple thank lu halodok,3,Positif
5,aplikasi ok,0,Netral
5,bantu pasien rumah,1,Positif
5,good banget,2,Positif
