Rating,Review Text,cleaning,case_folding,normalisasi,tokenize,stopword removal,steming_data
1,untuk pemesanan obat di kendari Sulawesi Tenggara masih banyak yang tidak tersedia. apotik rekanan halodocnya masih sedikit. di resepkan 5 obat oleh dokter yang tersedia cuman 1 obat,untuk pemesanan obat di kendari Sulawesi Tenggara masih banyak yang tidak tersedia apotik rekanan halodocnya masih sedikit di resepkan  obat oleh dokter yang tersedia cuman  obat,untuk pemesanan obat di kendari sulawesi tenggara masih banyak yang tidak tersedia apotik rekanan halodocnya masih sedikit di resepkan  obat oleh dokter yang tersedia cuman  obat,untuk pemesanan obat di kendari sulawesi tenggara masih banyak yang tidak tersedia apotik rekanan halodocnya masih sedikit di resepkan obat oleh dokter yang tersedia cuman obat,"['untuk', 'pemesanan', 'obat', 'di', 'kendari', 'sulawesi', 'tenggara', 'masih', 'banyak', 'yang', 'tidak', 'tersedia', 'apotik', 'rekanan', 'halodocnya', 'masih', 'sedikit', 'di', 'resepkan', 'obat', 'oleh', 'dokter', 'yang', 'tersedia', 'cuman', 'obat']","['pemesanan', 'obat', 'kendari', 'sulawesi', 'tenggara', 'tersedia', 'apotik', 'rekanan', 'halodocnya', 'resepkan', 'obat', 'dokter', 'tersedia', 'cuman', 'obat']",mesan obat kendari sulawesi tenggara sedia apotik rekan halodocnya resep obat dokter sedia cuman obat
5,"sangat membantu, soalnya gak bisa kemana2 karna sakit dan untungnya ada halodoc yang bisa membantu dan kasih saran dan tahap2 untuk setiap pengobatan",sangat membantu soalnya gak bisa kemana karna sakit dan untungnya ada halodoc yang bisa membantu dan kasih saran dan tahap untuk setiap pengobatan,sangat membantu soalnya gak bisa kemana karna sakit dan untungnya ada halodoc yang bisa membantu dan kasih saran dan tahap untuk setiap pengobatan,sangat membantu soalnya tidak bisa kemana karena sakit dan untungnya ada halodoc yang bisa membantu dan kasih saran dan tahap untuk setiap pengobatan,"['sangat', 'membantu', 'soalnya', 'tidak', 'bisa', 'kemana', 'karena', 'sakit', 'dan', 'untungnya', 'ada', 'halodoc', 'yang', 'bisa', 'membantu', 'dan', 'kasih', 'saran', 'dan', 'tahap', 'untuk', 'setiap', 'pengobatan']","['membantu', 'kemana', 'sakit', 'untungnya', 'halodoc', 'membantu', 'kasih', 'saran', 'tahap', 'pengobatan']",bantu mana sakit untung halodoc bantu kasih saran tahap obat
5,Dokternya sangat membantu.,Dokternya sangat membantu,dokternya sangat membantu,dokternya sangat membantu,"['dokternya', 'sangat', 'membantu']","['dokternya', 'membantu']",dokter bantu
5,Sangat membantu jika ada kendala waktu dan tempat utk berkonsuktas dengan dokter secara tatap muka,Sangat membantu jika ada kendala waktu dan tempat utk berkonsuktas dengan dokter secara tatap muka,sangat membantu jika ada kendala waktu dan tempat utk berkonsuktas dengan dokter secara tatap muka,sangat membantu jika ada kendala waktu dan tempat untuk berkonsuktas dengan dokter secara tatap muka,"['sangat', 'membantu', 'jika', 'ada', 'kendala', 'waktu', 'dan', 'tempat', 'untuk', 'berkonsuktas', 'dengan', 'dokter', 'secara', 'tatap', 'muka']","['membantu', 'kendala', 'berkonsuktas', 'dokter', 'tatap', 'muka']",bantu kendala berkonsuktas dokter tatap muka
5,ramah ramah dokternya❤️❤️,ramah ramah dokternya,ramah ramah dokternya,ramah ramah dokternya,"['ramah', 'ramah', 'dokternya']","['ramah', 'ramah', 'dokternya']",ramah ramah dokter
5,sangat membantu,sangat membantu,sangat membantu,sangat membantu,"['sangat', 'membantu']",['membantu'],bantu
5,respon cepat,respon cepat,respon cepat,respon cepat,"['respon', 'cepat']","['respon', 'cepat']",respon cepat
1,"saya belum selesai konsultasi tapi sudah habis saja waktunya, jadi dokternya sedikit kesulitan untuk mendiagnosis sakit yg saya derita apa?. saran, Tolong untuk timer Waktunya, agak di perpanjang Lebih dari (30 menit) menurut saya untuk konsultasi tentang kejiwaan itu terlalu cepat🙏🏻(apalagi ini konsultasinya via online bukan langsung). karena problem dan kejadian yg di derita setiap pasien itu berbeda-beda. kadang ada pasien yg ketika di timer itu jadi Tidak fokus menjelaskan.sprti tergupuh",saya belum selesai konsultasi tapi sudah habis saja waktunya jadi dokternya sedikit kesulitan untuk mendiagnosis sakit yg saya derita apa saran Tolong untuk timer Waktunya agak di perpanjang Lebih dari  menit menurut saya untuk konsultasi tentang kejiwaan itu terlalu cepatapalagi ini konsultasinya via online bukan langsung karena problem dan kejadian yg di derita setiap pasien itu berbedabeda kadang ada pasien yg ketika di timer itu jadi Tidak fokus menjelaskansprti tergupuh,saya belum selesai konsultasi tapi sudah habis saja waktunya jadi dokternya sedikit kesulitan untuk mendiagnosis sakit yg saya derita apa saran tolong untuk timer waktunya agak di perpanjang lebih dari  menit menurut saya untuk konsultasi tentang kejiwaan itu terlalu cepatapalagi ini konsultasinya via online bukan langsung karena problem dan kejadian yg di derita setiap pasien itu berbedabeda kadang ada pasien yg ketika di timer itu jadi tidak fokus menjelaskansprti tergupuh,saya belum selesai konsultasi tapi sudah habis saja waktunya jadi dokternya sedikit kesulitan untuk mendiagnosis sakit yang saya derita apa saran tolong untuk timer waktunya agak di perpanjang lebih dari menit menurut saya untuk konsultasi tentang kejiwaan itu terlalu cepatapalagi ini konsultasinya via online bukan langsung karena problem dan kejadian yang di derita setiap pasien itu berbedabeda kadang ada pasien yang ketika di timer itu jadi tidak fokus menjelaskansprti tergupuh,"['saya', 'belum', 'selesai', 'konsultasi', 'tapi', 'sudah', 'habis', 'saja', 'waktunya', 'jadi', 'dokternya', 'sedikit', 'kesulitan', 'untuk', 'mendiagnosis', 'sakit', 'yang', 'saya', 'derita', 'apa', 'saran', 'tolong', 'untuk', 'timer', 'waktunya', 'agak', 'di', 'perpanjang', 'lebih', 'dari', 'menit', 'menurut', 'saya', 'untuk', 'konsultasi', 'tentang', 'kejiwaan', 'itu', 'terlalu', 'cepatapalagi', 'ini', 'konsultasinya', 'via', 'online', 'bukan', 'langsung', 'karena', 'problem', 'dan', 'kejadian', 'yang', 'di', 'derita', 'setiap', 'pasien', 'itu', 'berbedabeda', 'kadang', 'ada', 'pasien', 'yang', 'ketika', 'di', 'timer', 'itu', 'jadi', 'tidak', 'fokus', 'menjelaskansprti', 'tergupuh']","['selesai', 'konsultasi', 'habis', 'dokternya', 'kesulitan', 'mendiagnosis', 'sakit', 'derita', 'saran', 'tolong', 'timer', 'perpanjang', 'menit', 'konsultasi', 'kejiwaan', 'cepatapalagi', 'konsultasinya', 'via', 'online', 'langsung', 'problem', 'kejadian', 'derita', 'pasien', 'berbedabeda', 'kadang', 'pasien', 'timer', 'fokus', 'menjelaskansprti', 'tergupuh']",selesai konsultasi habis dokter sulit diagnosis sakit derita saran tolong timer panjang menit konsultasi jiwa cepatapalagi konsultasi via online langsung problem jadi derita pasien berbedabeda kadang pasien timer fokus menjelaskansprti tergupuh
5,"Good, Responx cepat, memudahkan untuk konsul saat waktu terbatas",Good Responx cepat memudahkan untuk konsul saat waktu terbatas,good responx cepat memudahkan untuk konsul saat waktu terbatas,good responx cepat memudahkan untuk konsultasi saat waktu terbatas,"['good', 'responx', 'cepat', 'memudahkan', 'untuk', 'konsultasi', 'saat', 'waktu', 'terbatas']","['good', 'responx', 'cepat', 'memudahkan', 'konsultasi', 'terbatas']",good responx cepat mudah konsultasi batas
5,memuaskan semoga ada perubahan nanti di wajah,memuaskan semoga ada perubahan nanti di wajah,memuaskan semoga ada perubahan nanti di wajah,memuaskan semoga ada perubahan nanti di wajah,"['memuaskan', 'semoga', 'ada', 'perubahan', 'nanti', 'di', 'wajah']","['memuaskan', 'semoga', 'perubahan', 'wajah']",muas moga ubah wajah
